"first_name"||"last_name"||"user"||"email"||"name"||"phone"||"cc"||"amount"||"date"
"Isabel"||"Shelton"||"isabel.shelton"||"Isabel.Shelton@example.com"||"Isabel Shelton"||"(783) 840-7126"||"ACN00008"||52.6||"5/11/2110"
"Cameron"||"Crawford"||"cameron.crawford"||"Cameron.Crawford@example.com"||"Cameron Crawford"||"(878) 926-2724"||"ACN00001"||88.97||"29/12/2064"
"Franklin"||"Powers"||"franklin.powers"||"Franklin.Powers@example.com"||"Franklin Powers"||"(532) 966-4164"||"ACN00002"||46.65||"29/3/2104"
"Fred"||"Graves"||"fred.graves"||"Fred.Graves@example.com"||"Fred Graves"||"(879) 759-4241"||"ACN00006"||17.17||"8/7/2116"
"Jeffrey"||"Morrison"||"jeffrey.morrison"||"Jeffrey.Morrison@example.com"||"Jeffrey Morrison"||"(803) 344-4147"||"ACN00006"||24.310000000000002||"1/10/2114"
"Virgie"||"Ross"||"virgie.ross"||"Virgie.Ross@example.com"||"Virgie Ross"||"(869) 445-6817"||"ACN00006"||67.8||"11/9/2111"
"Jonathan"||"Drake"||"jonathan.drake"||"Jonathan.Drake@example.com"||"Jonathan Drake"||"(926) 423-9967"||"ACN00003"||3.8899999999999997||"31/12/2087"
"Maurice"||"Elliott"||"maurice.elliott"||"Maurice.Elliott@example.com"||"Maurice Elliott"||"(603) 503-5337"||"ACN00006"||97.54||"16/8/2017"
"Isabelle"||"Ingram"||"isabelle.ingram"||"Isabelle.Ingram@example.com"||"Isabelle Ingram"||"(386) 280-1047"||"ACN00001"||29.72||"13/6/2062"
"Dennis"||"Tucker"||"dennis.tucker"||"Dennis.Tucker@example.com"||"Dennis Tucker"||"(931) 872-8406"||"ACN00008"||60.52||"14/7/2096"
"Frances"||"Ramos"||"frances.ramos"||"Frances.Ramos@example.com"||"Frances Ramos"||"(875) 753-2187"||"ACN00007"||92.9||"5/9/2037"
"Sally"||"Rhodes"||"sally.rhodes"||"Sally.Rhodes@example.com"||"Sally Rhodes"||"(437) 855-4885"||"ACN00008"||82.69||"25/2/2102"
"Abbie"||"Jacobs"||"abbie.jacobs"||"Abbie.Jacobs@example.com"||"Abbie Jacobs"||"(640) 420-4803"||"ACN00004"||35.78||"23/1/2084"
"Daisy"||"Sharp"||"daisy.sharp"||"Daisy.Sharp@example.com"||"Daisy Sharp"||"(404) 317-6639"||"ACN00001"||89.3||"29/7/2036"
"Hettie"||"Reeves"||"hettie.reeves"||"Hettie.Reeves@example.com"||"Hettie Reeves"||"(505) 414-5155"||"ACN00001"||53.190000000000005||"12/9/2016"
"Vincent"||"Garrett"||"vincent.garrett"||"Vincent.Garrett@example.com"||"Vincent Garrett"||"(885) 479-9266"||"ACN00002"||66.06||"30/4/2092"
"Della"||"Moody"||"della.moody"||"Della.Moody@example.com"||"Della Moody"||"(556) 456-9338"||"ACN00007"||60.14||"26/12/2055"
"Bernice"||"Bennett"||"bernice.bennett"||"Bernice.Bennett@example.com"||"Bernice Bennett"||"(671) 548-8302"||"ACN00005"||10.52||"18/9/2074"
"Cynthia"||"Howell"||"cynthia.howell"||"Cynthia.Howell@example.com"||"Cynthia Howell"||"(271) 781-6702"||"ACN00003"||15.28||"13/5/2037"
"Duane"||"Little"||"duane.little"||"Duane.Little@example.com"||"Duane Little"||"(406) 990-6237"||"ACN00005"||20.17||"25/2/2097"
"Louisa"||"Holloway"||"louisa.holloway"||"Louisa.Holloway@example.com"||"Louisa Holloway"||"(876) 451-3119"||"ACN00007"||42.08||"17/11/2043"
"Michael"||"Morrison"||"michael.morrison"||"Michael.Morrison@example.com"||"Michael Morrison"||"(308) 963-4481"||"ACN00004"||37.449999999999996||"25/5/2019"
"Alberta"||"Thornton"||"alberta.thornton"||"Alberta.Thornton@example.com"||"Alberta Thornton"||"(368) 760-1675"||"ACN00002"||31.150000000000002||"2/4/2030"
"Eugene"||"Goodman"||"eugene.goodman"||"Eugene.Goodman@example.com"||"Eugene Goodman"||"(268) 491-4861"||"ACN00002"||9.66||"28/12/2060"
"Micheal"||"Smith"||"micheal.smith"||"Micheal.Smith@example.com"||"Micheal Smith"||"(939) 220-2754"||"ACN00002"||30.36||"21/9/2064"
"Willie"||"Perry"||"willie.perry"||"Willie.Perry@example.com"||"Willie Perry"||"(258) 967-8499"||"ACN00003"||10.629999999999999||"30/10/2081"
"Grace"||"Curry"||"grace.curry"||"Grace.Curry@example.com"||"Grace Curry"||"(264) 376-1829"||"ACN00001"||85.17999999999999||"22/10/2017"
"Fred"||"Vaughn"||"fred.vaughn"||"Fred.Vaughn@example.com"||"Fred Vaughn"||"(838) 248-8136"||"ACN00005"||53.47||"2/7/2098"
"Mable"||"Paul"||"mable.paul"||"Mable.Paul@example.com"||"Mable Paul"||"(923) 717-2953"||"ACN00007"||75.21000000000001||"8/11/2090"
"Katherine"||"Bailey"||"katherine.bailey"||"Katherine.Bailey@example.com"||"Katherine Bailey"||"(976) 839-1671"||"ACN00003"||82.77||"17/12/2099"
"Elsie"||"Ramsey"||"elsie.ramsey"||"Elsie.Ramsey@example.com"||"Elsie Ramsey"||"(934) 972-7761"||"ACN00007"||76.81||"13/4/2017"
"Benjamin"||"McGuire"||"benjamin.mcguire"||"Benjamin.McGuire@example.com"||"Benjamin McGuire"||"(773) 749-3083"||"ACN00001"||95.2||"31/5/2076"
"Gussie"||"Wood"||"gussie.wood"||"Gussie.Wood@example.com"||"Gussie Wood"||"(726) 872-9785"||"ACN00004"||26.74||"6/2/2102"
"Lenora"||"Ellis"||"lenora.ellis"||"Lenora.Ellis@example.com"||"Lenora Ellis"||"(929) 445-2202"||"ACN00006"||60.730000000000004||"8/7/2050"
"Harriet"||"Moreno"||"harriet.moreno"||"Harriet.Moreno@example.com"||"Harriet Moreno"||"(572) 762-4191"||"ACN00006"||31.93||"22/3/2066"
"Elmer"||"Moore"||"elmer.moore"||"Elmer.Moore@example.com"||"Elmer Moore"||"(745) 990-7044"||"ACN00005"||12.54||"18/1/2056"
"Evan"||"Estrada"||"evan.estrada"||"Evan.Estrada@example.com"||"Evan Estrada"||"(247) 679-8781"||"ACN00007"||55.49||"25/4/2092"
"Alexander"||"Beck"||"alexander.beck"||"Alexander.Beck@example.com"||"Alexander Beck"||"(458) 736-9503"||"ACN00001"||59.61||"27/11/2114"
"Peter"||"Hart"||"peter.hart"||"Peter.Hart@example.com"||"Peter Hart"||"(255) 245-3116"||"ACN00008"||74.76||"26/11/2077"
"Fanny"||"Parks"||"fanny.parks"||"Fanny.Parks@example.com"||"Fanny Parks"||"(522) 445-1881"||"ACN00006"||75.07||"10/10/2109"
"Ethan"||"Gibson"||"ethan.gibson"||"Ethan.Gibson@example.com"||"Ethan Gibson"||"(525) 447-1749"||"ACN00003"||22.54||"27/9/2098"
"Charles"||"Lawrence"||"charles.lawrence"||"Charles.Lawrence@example.com"||"Charles Lawrence"||"(700) 286-4138"||"ACN00005"||64.56||"6/4/2101"
"Stephen"||"Bradley"||"stephen.bradley"||"Stephen.Bradley@example.com"||"Stephen Bradley"||"(502) 765-8426"||"ACN00007"||76.96000000000001||"14/11/2027"
"Fanny"||"Owens"||"fanny.owens"||"Fanny.Owens@example.com"||"Fanny Owens"||"(836) 636-8247"||"ACN00005"||68.58||"30/9/2088"
"Lenora"||"Goodman"||"lenora.goodman"||"Lenora.Goodman@example.com"||"Lenora Goodman"||"(354) 998-1903"||"ACN00001"||55.48||"29/1/2038"
"Mary"||"McGuire"||"mary.mcguire"||"Mary.McGuire@example.com"||"Mary McGuire"||"(489) 689-7928"||"ACN00006"||56.61||"1/5/2035"
"Todd"||"Gomez"||"todd.gomez"||"Todd.Gomez@example.com"||"Todd Gomez"||"(250) 399-8036"||"ACN00001"||43.46||"18/1/2066"
"Steven"||"Myers"||"steven.myers"||"Steven.Myers@example.com"||"Steven Myers"||"(910) 712-1345"||"ACN00007"||52.449999999999996||"8/10/2063"
"Beulah"||"Goodman"||"beulah.goodman"||"Beulah.Goodman@example.com"||"Beulah Goodman"||"(308) 713-1777"||"ACN00003"||87.01||"22/9/2116"
"Virginia"||"Anderson"||"virginia.anderson"||"Virginia.Anderson@example.com"||"Virginia Anderson"||"(309) 985-3890"||"ACN00006"||47.349999999999994||"21/12/2106"
"Jesse"||"Douglas"||"jesse.douglas"||"Jesse.Douglas@example.com"||"Jesse Douglas"||"(364) 348-1127"||"ACN00004"||88.44000000000001||"12/12/2071"
"Brandon"||"Turner"||"brandon.turner"||"Brandon.Turner@example.com"||"Brandon Turner"||"(986) 879-8825"||"ACN00007"||5.96||"9/2/2108"
"Joshua"||"White"||"joshua.white"||"Joshua.White@example.com"||"Joshua White"||"(686) 200-2355"||"ACN00002"||41.660000000000004||"6/2/2023"
"Derrick"||"Pena"||"derrick.pena"||"Derrick.Pena@example.com"||"Derrick Pena"||"(216) 732-1460"||"ACN00006"||21.58||"8/10/2110"
"Fanny"||"Strickland"||"fanny.strickland"||"Fanny.Strickland@example.com"||"Fanny Strickland"||"(812) 396-4598"||"ACN00004"||6.02||"26/6/2035"
"Eunice"||"Herrera"||"eunice.herrera"||"Eunice.Herrera@example.com"||"Eunice Herrera"||"(406) 578-8485"||"ACN00002"||28.310000000000002||"3/2/2066"
"Glen"||"Ellis"||"glen.ellis"||"Glen.Ellis@example.com"||"Glen Ellis"||"(452) 834-3107"||"ACN00001"||8.99||"28/11/2079"
"Jesse"||"Mendez"||"jesse.mendez"||"Jesse.Mendez@example.com"||"Jesse Mendez"||"(429) 436-8859"||"ACN00006"||49.46||"6/4/2037"
"Violet"||"Rose"||"violet.rose"||"Violet.Rose@example.com"||"Violet Rose"||"(274) 992-3857"||"ACN00001"||38.77||"27/1/2087"
"Elsie"||"Frazier"||"elsie.frazier"||"Elsie.Frazier@example.com"||"Elsie Frazier"||"(352) 269-5587"||"ACN00006"||46.8||"30/12/2024"
"Gene"||"Green"||"gene.green"||"Gene.Green@example.com"||"Gene Green"||"(960) 539-4141"||"ACN00006"||16.86||"5/3/2039"
"Rodney"||"Haynes"||"rodney.haynes"||"Rodney.Haynes@example.com"||"Rodney Haynes"||"(217) 343-6004"||"ACN00006"||86||"28/5/2086"
"Alejandro"||"Lewis"||"alejandro.lewis"||"Alejandro.Lewis@example.com"||"Alejandro Lewis"||"(473) 486-5084"||"ACN00004"||31.21||"19/8/2086"
"Sadie"||"Munoz"||"sadie.munoz"||"Sadie.Munoz@example.com"||"Sadie Munoz"||"(989) 754-4132"||"ACN00002"||71.51||"23/1/2070"
"Pearl"||"Russell"||"pearl.russell"||"Pearl.Russell@example.com"||"Pearl Russell"||"(775) 435-5125"||"ACN00007"||21.779999999999998||"11/12/2055"
"Jean"||"Robbins"||"jean.robbins"||"Jean.Robbins@example.com"||"Jean Robbins"||"(408) 770-5361"||"ACN00007"||50.05||"21/2/2021"
"Mattie"||"Mathis"||"mattie.mathis"||"Mattie.Mathis@example.com"||"Mattie Mathis"||"(850) 410-4522"||"ACN00004"||12.69||"2/4/2046"
"Cody"||"Garza"||"cody.garza"||"Cody.Garza@example.com"||"Cody Garza"||"(211) 528-8949"||"ACN00005"||13.46||"19/6/2105"
"Terry"||"Poole"||"terry.poole"||"Terry.Poole@example.com"||"Terry Poole"||"(732) 235-2789"||"ACN00005"||28.29||"26/9/2061"
"Vera"||"Bates"||"vera.bates"||"Vera.Bates@example.com"||"Vera Bates"||"(363) 581-7461"||"ACN00005"||37.4||"18/7/2089"
"Mabelle"||"Lopez"||"mabelle.lopez"||"Mabelle.Lopez@example.com"||"Mabelle Lopez"||"(358) 358-3125"||"ACN00001"||23.9||"1/11/2109"
"Jeffery"||"Washington"||"jeffery.washington"||"Jeffery.Washington@example.com"||"Jeffery Washington"||"(587) 273-9551"||"ACN00002"||90.26||"15/2/2042"
"Sean"||"Riley"||"sean.riley"||"Sean.Riley@example.com"||"Sean Riley"||"(754) 444-4496"||"ACN00002"||31.259999999999998||"21/1/2116"
"Marion"||"Curtis"||"marion.curtis"||"Marion.Curtis@example.com"||"Marion Curtis"||"(868) 657-3502"||"ACN00005"||34.32||"10/11/2091"
"Christian"||"White"||"christian.white"||"Christian.White@example.com"||"Christian White"||"(361) 611-4571"||"ACN00007"||84.02||"9/4/2113"
"Gordon"||"Dixon"||"gordon.dixon"||"Gordon.Dixon@example.com"||"Gordon Dixon"||"(557) 667-1847"||"ACN00002"||8.4||"12/6/2045"
"Harriet"||"Hicks"||"harriet.hicks"||"Harriet.Hicks@example.com"||"Harriet Hicks"||"(336) 702-5456"||"ACN00004"||45.620000000000005||"27/12/2072"
"Evelyn"||"Lawson"||"evelyn.lawson"||"Evelyn.Lawson@example.com"||"Evelyn Lawson"||"(425) 913-8106"||"ACN00007"||58.949999999999996||"10/1/2103"
"Betty"||"Burns"||"betty.burns"||"Betty.Burns@example.com"||"Betty Burns"||"(574) 727-2899"||"ACN00001"||78.75||"20/8/2030"
"Phillip"||"Garner"||"phillip.garner"||"Phillip.Garner@example.com"||"Phillip Garner"||"(276) 518-6566"||"ACN00007"||71.1||"15/9/2093"
"Susie"||"Simon"||"susie.simon"||"Susie.Simon@example.com"||"Susie Simon"||"(364) 746-8470"||"ACN00004"||19.08||"26/1/2082"
"Edna"||"Richardson"||"edna.richardson"||"Edna.Richardson@example.com"||"Edna Richardson"||"(946) 520-9964"||"ACN00007"||74.46000000000001||"3/2/2115"
"Vernon"||"Lambert"||"vernon.lambert"||"Vernon.Lambert@example.com"||"Vernon Lambert"||"(421) 664-3499"||"ACN00007"||69.6||"17/1/2114"
"Fred"||"Willis"||"fred.willis"||"Fred.Willis@example.com"||"Fred Willis"||"(486) 329-4855"||"ACN00001"||25.610000000000003||"5/8/2062"
"Stephen"||"Fisher"||"stephen.fisher"||"Stephen.Fisher@example.com"||"Stephen Fisher"||"(380) 414-9223"||"ACN00002"||8.139999999999999||"18/12/2018"
"Dollie"||"Harmon"||"dollie.harmon"||"Dollie.Harmon@example.com"||"Dollie Harmon"||"(209) 299-1187"||"ACN00006"||43.290000000000006||"22/2/2070"
"Joshua"||"Christensen"||"joshua.christensen"||"Joshua.Christensen@example.com"||"Joshua Christensen"||"(864) 319-2625"||"ACN00002"||78.83||"5/2/2069"
"Sophia"||"Yates"||"sophia.yates"||"Sophia.Yates@example.com"||"Sophia Yates"||"(400) 403-6493"||"ACN00007"||23.57||"28/5/2046"
"Rosa"||"Jenkins"||"rosa.jenkins"||"Rosa.Jenkins@example.com"||"Rosa Jenkins"||"(589) 691-9318"||"ACN00003"||31.73||"7/8/2040"
"Jeffrey"||"Palmer"||"jeffrey.palmer"||"Jeffrey.Palmer@example.com"||"Jeffrey Palmer"||"(948) 782-7930"||"ACN00003"||94.84||"16/2/2034"
"Chris"||"Silva"||"chris.silva"||"Chris.Silva@example.com"||"Chris Silva"||"(873) 504-4795"||"ACN00001"||21.130000000000003||"29/3/2067"
"Daniel"||"Welch"||"daniel.welch"||"Daniel.Welch@example.com"||"Daniel Welch"||"(378) 745-5763"||"ACN00002"||27.919999999999998||"17/5/2024"
"Russell"||"Arnold"||"russell.arnold"||"Russell.Arnold@example.com"||"Russell Arnold"||"(246) 781-4997"||"ACN00002"||87.75||"30/5/2091"
"Virginia"||"Ray"||"virginia.ray"||"Virginia.Ray@example.com"||"Virginia Ray"||"(414) 662-9552"||"ACN00003"||22.71||"11/4/2113"
"Phillip"||"Harmon"||"phillip.harmon"||"Phillip.Harmon@example.com"||"Phillip Harmon"||"(821) 776-4884"||"ACN00001"||32.49||"14/2/2112"
"Marie"||"Massey"||"marie.massey"||"Marie.Massey@example.com"||"Marie Massey"||"(508) 720-3488"||"ACN00003"||16.53||"19/11/2103"
"Stanley"||"Long"||"stanley.long"||"Stanley.Long@example.com"||"Stanley Long"||"(244) 849-7075"||"ACN00007"||18.810000000000002||"21/7/2071"
"Tillie"||"Greer"||"tillie.greer"||"Tillie.Greer@example.com"||"Tillie Greer"||"(365) 796-7233"||"ACN00006"||11.12||"23/9/2052"
"Sophie"||"Brooks"||"sophie.brooks"||"Sophie.Brooks@example.com"||"Sophie Brooks"||"(563) 873-2431"||"ACN00001"||23.97||"11/10/2028"
"Alejandro"||"Walsh"||"alejandro.walsh"||"Alejandro.Walsh@example.com"||"Alejandro Walsh"||"(488) 929-7705"||"ACN00002"||19.02||"17/6/2073"
"Della"||"Arnold"||"della.arnold"||"Della.Arnold@example.com"||"Della Arnold"||"(554) 557-1648"||"ACN00006"||9.93||"9/1/2081"
"Rosalie"||"Caldwell"||"rosalie.caldwell"||"Rosalie.Caldwell@example.com"||"Rosalie Caldwell"||"(208) 988-4446"||"ACN00004"||81.5||"20/1/2097"
"Maud"||"Greer"||"maud.greer"||"Maud.Greer@example.com"||"Maud Greer"||"(505) 214-9784"||"ACN00006"||22.959999999999997||"16/4/2022"
"Olive"||"Jordan"||"olive.jordan"||"Olive.Jordan@example.com"||"Olive Jordan"||"(742) 835-1578"||"ACN00004"||21.09||"3/11/2098"
"Callie"||"Gray"||"callie.gray"||"Callie.Gray@example.com"||"Callie Gray"||"(824) 934-5975"||"ACN00003"||11.82||"11/8/2116"
"Edith"||"Jennings"||"edith.jennings"||"Edith.Jennings@example.com"||"Edith Jennings"||"(737) 758-7591"||"ACN00004"||12.49||"2/3/2102"
"Ethel"||"Hunter"||"ethel.hunter"||"Ethel.Hunter@example.com"||"Ethel Hunter"||"(426) 534-6085"||"ACN00003"||12.729999999999999||"28/4/2112"
"Garrett"||"Rodriguez"||"garrett.rodriguez"||"Garrett.Rodriguez@example.com"||"Garrett Rodriguez"||"(409) 500-6240"||"ACN00003"||48.21||"4/12/2039"
"Kenneth"||"Flowers"||"kenneth.flowers"||"Kenneth.Flowers@example.com"||"Kenneth Flowers"||"(954) 501-2434"||"ACN00003"||90.36999999999999||"13/5/2064"
"Clara"||"Sandoval"||"clara.sandoval"||"Clara.Sandoval@example.com"||"Clara Sandoval"||"(320) 921-9113"||"ACN00005"||37.309999999999995||"24/4/2096"
"Sara"||"Mendoza"||"sara.mendoza"||"Sara.Mendoza@example.com"||"Sara Mendoza"||"(682) 409-4052"||"ACN00007"||0.59||"19/7/2051"
"Jayden"||"Becker"||"jayden.becker"||"Jayden.Becker@example.com"||"Jayden Becker"||"(220) 293-2675"||"ACN00006"||13.69||"16/11/2078"
"Mitchell"||"Black"||"mitchell.black"||"Mitchell.Black@example.com"||"Mitchell Black"||"(444) 623-3158"||"ACN00005"||45.28||"1/7/2106"
"Lewis"||"Ball"||"lewis.ball"||"Lewis.Ball@example.com"||"Lewis Ball"||"(630) 528-2173"||"ACN00004"||54.15||"14/3/2115"
"Trevor"||"Reese"||"trevor.reese"||"Trevor.Reese@example.com"||"Trevor Reese"||"(488) 931-5424"||"ACN00004"||100||"29/5/2044"
"Calvin"||"Moreno"||"calvin.moreno"||"Calvin.Moreno@example.com"||"Calvin Moreno"||"(935) 880-6056"||"ACN00007"||24.89||"16/7/2105"
"Brandon"||"Sullivan"||"brandon.sullivan"||"Brandon.Sullivan@example.com"||"Brandon Sullivan"||"(927) 945-6933"||"ACN00004"||93.03||"20/11/2051"
"Russell"||"Ryan"||"russell.ryan"||"Russell.Ryan@example.com"||"Russell Ryan"||"(810) 936-9951"||"ACN00005"||56.760000000000005||"18/5/2021"
"Pauline"||"Cummings"||"pauline.cummings"||"Pauline.Cummings@example.com"||"Pauline Cummings"||"(319) 679-7820"||"ACN00004"||0.34||"2/10/2037"
"Claudia"||"Riley"||"claudia.riley"||"Claudia.Riley@example.com"||"Claudia Riley"||"(781) 619-1418"||"ACN00004"||47.25||"10/4/2099"
"Eddie"||"Jordan"||"eddie.jordan"||"Eddie.Jordan@example.com"||"Eddie Jordan"||"(405) 512-9671"||"ACN00007"||49.790000000000006||"13/2/2030"
"Ronald"||"Casey"||"ronald.casey"||"Ronald.Casey@example.com"||"Ronald Casey"||"(611) 825-4825"||"ACN00002"||44.04||"5/8/2031"
"Ellen"||"Wilkins"||"ellen.wilkins"||"Ellen.Wilkins@example.com"||"Ellen Wilkins"||"(401) 656-9359"||"ACN00006"||68.03||"13/2/2019"
"Bertha"||"Leonard"||"bertha.leonard"||"Bertha.Leonard@example.com"||"Bertha Leonard"||"(844) 354-8122"||"ACN00004"||63.99||"18/5/2020"
"Elnora"||"Graham"||"elnora.graham"||"Elnora.Graham@example.com"||"Elnora Graham"||"(213) 405-1290"||"ACN00007"||1.08||"30/5/2052"
"Eugene"||"Jones"||"eugene.jones"||"Eugene.Jones@example.com"||"Eugene Jones"||"(744) 869-1335"||"ACN00002"||33.98||"18/3/2092"
"Harriett"||"Sparks"||"harriett.sparks"||"Harriett.Sparks@example.com"||"Harriett Sparks"||"(480) 969-8453"||"ACN00008"||7.31||"15/11/2085"
"Blanche"||"Kim"||"blanche.kim"||"Blanche.Kim@example.com"||"Blanche Kim"||"(610) 689-2575"||"ACN00008"||69.97||"3/12/2103"
"Brent"||"Hines"||"brent.hines"||"Brent.Hines@example.com"||"Brent Hines"||"(629) 813-2335"||"ACN00003"||72.05||"30/7/2045"
"Alice"||"Hill"||"alice.hill"||"Alice.Hill@example.com"||"Alice Hill"||"(977) 588-3765"||"ACN00007"||16.24||"26/3/2062"
"Sally"||"Perkins"||"sally.perkins"||"Sally.Perkins@example.com"||"Sally Perkins"||"(637) 775-2757"||"ACN00002"||70.46000000000001||"9/11/2064"
"Jorge"||"Stone"||"jorge.stone"||"Jorge.Stone@example.com"||"Jorge Stone"||"(760) 343-1166"||"ACN00003"||12.4||"18/2/2114"
